subject,subject_authority,subject_uri
"Gardens, American",lcsh,http://id.loc.gov/authorities/subjects/sh85053123
Photography of gardens,lcsh,http://id.loc.gov/authorities/subjects/sh85101348
"Plants, Ornamental",lcsh,http://id.loc.gov/authorities/subjects/sh85103022
Flowers--United States,lcsh,http://id.loc.gov/authorities/subjects/sh2008120720
Water gardens,lcsh,http://id.loc.gov/authorities/subjects/sh85145559
Garden walks,lcsh,http://id.loc.gov/authorities/subjects/sh85053084
Nature photography,lcsh,http://id.loc.gov/authorities/subjects/sh85090290
Trellises,lcsh,http://id.loc.gov/authorities/subjects/sh85137269
Water lilies,lcsh,http://id.loc.gov/authorities/subjects/sh85145576
Dogwoods,lcsh,http://id.loc.gov/authorities/subjects/sh85038828
Flowering trees,lcsh,http://id.loc.gov/authorities/subjects/sh85049328
Great Smoky Mountains (N.C. and Tenn.),lcsh,http://id.loc.gov/authorities/subjects/sh85057008
Scenic overlooks,lcsh,http://id.loc.gov/authorities/subjects/sh2008009411
Christmas decorations,lcsh,http://id.loc.gov/authorities/subjects/sh85025309
Courtyards,lcsh,http://id.loc.gov/authorities/subjects/sh85033602
Mountains--Tennessee,lcsh,http://id.loc.gov/authorities/subjects/sh85087947
Rhododendrons,lcsh,http://id.loc.gov/authorities/subjects/sh85113765
Trees in winter,lcsh,http://id.loc.gov/authorities/subjects/sh85137265
Arbors,lcsh,http://id.loc.gov/authorities/subjects/sh96007468
Azaleas,lcsh,http://id.loc.gov/authorities/subjects/sh85010626
Common snowdrop,lcsh,http://id.loc.gov/authorities/subjects/sh88022799
Daffodils,lcsh,http://id.loc.gov/authorities/subjects/sh85035383
Dogs,lcsh,http://id.loc.gov/authorities/subjects/sh85038796
Driveways,lcsh,http://id.loc.gov/authorities/subjects/sh85039611
Gates,lcsh,http://id.loc.gov/authorities/subjects/sh85053505
Irises (Plants),lcsh,http://id.loc.gov/authorities/subjects/sh85068079
Patio gardening,lcsh,http://id.loc.gov/authorities/subjects/sh85098713
Patios,lcsh,http://id.loc.gov/authorities/subjects/sh85098714
Wisteria,lcsh,http://id.loc.gov/authorities/subjects/sh85147122
Wreaths,lcsh,http://id.loc.gov/authorities/subjects/sh85148599
Alluvial streams,lcsh,http://id.loc.gov/authorities/subjects/sh85003734
Asters,lcsh,http://id.loc.gov/authorities/subjects/sh85008854
Caesalpinia,lcsh,http://id.loc.gov/authorities/subjects/sh88022614
Christmas trees,lcsh,http://id.loc.gov/authorities/subjects/sh85025322
Chrysanthemums,lcsh,http://id.loc.gov/authorities/subjects/sh85025424
Clematis,lcsh,http://id.loc.gov/authorities/subjects/sh85026933
Daylilies,lcsh,http://id.loc.gov/authorities/subjects/sh85035974
Dwarf lilyturf,lcsh,http://id.loc.gov/authorities/subjects/sh2002004598
Eupatorium,lcsh,http://id.loc.gov/authorities/subjects/sh88022788
Ferns,lcsh,http://id.loc.gov/authorities/subjects/sh85047836
Fountains,lcsh,http://id.loc.gov/authorities/subjects/sh85051067
Galax,lcsh,http://id.loc.gov/authorities/subjects/sh2006020025
Hydrangeas,lcsh,http://id.loc.gov/authorities/subjects/sh85063290
Lemon balm,lcsh,http://id.loc.gov/authorities/subjects/sh00004645
Liriodendron tulipifera,lcsh,http://id.loc.gov/authorities/subjects/sh85077428
Lotus,lcsh,http://id.loc.gov/authorities/subjects/sh85078460
Millstones,lcsh,http://id.loc.gov/authorities/subjects/sh85085428
Mockingbirds,lcsh,http://id.loc.gov/authorities/subjects/sh85086407
Mountain laurel,lcsh,http://id.loc.gov/authorities/subjects/sh85087782
Passiflora,lcsh,http://id.loc.gov/authorities/subjects/sh85098513
Primroses,lcsh,http://id.loc.gov/authorities/subjects/sh85106708
Redbud,lcsh,http://id.loc.gov/authorities/subjects/sh85112106
Rhododendron maximum,lcsh,http://id.loc.gov/authorities/subjects/sh2005008326
State birds,lcsh,http://id.loc.gov/authorities/subjects/sh85127482
Tennessee River,lcsh,http://id.loc.gov/authorities/subjects/sh85133887
Trilliums,lcsh,http://id.loc.gov/authorities/subjects/sh96008268
Weeping willow,lcsh,http://id.loc.gov/authorities/subjects/sh96001392
